question_id,session,tier,intent_expected,intent_actual,routing_pattern,agents_dispatched,routed_agent,orchestrator_used,ttfb_ms,first_progress_ms,total_ms,classification_latency_ms,used_llm_layer,execution_time_ms,intent_confidence,response_confidence,response_chars,session_id,request_id,error,answer_correct,suggestion_pills_relevant,notes
4.3,n4,T4,multi_faceted,,,,,False,9047.2,9046.7,9051.8,,,,,,1535,fa9451d4-6082-40c5-9086-efdf51acd0dc,perf-agui-4.3,,,,
4.4,n4,T3,causal_analysis,,,causal_analysis_tool,,False,15034.5,14939.8,15038.5,,,,,,2021,fa9451d4-6082-40c5-9086-efdf51acd0dc,perf-agui-4.4,,,,
4.5,n4,T2,kpi_query,,,e2i_data_query_tool,,False,17637.2,9829.4,17696.4,,,,,,1412,fa9451d4-6082-40c5-9086-efdf51acd0dc,perf-agui-4.5,,,,
4.6,n4,T2,kpi_query,,,e2i_data_query_tool,,False,51918.5,2970.3,52208.6,,,,,,1616,fa9451d4-6082-40c5-9086-efdf51acd0dc,perf-agui-4.6,,,,
4.7,n4,T3,causal_analysis,,,causal_analysis_tool,,False,15796.8,5051.6,15896.6,,,,,,2422,fa9451d4-6082-40c5-9086-efdf51acd0dc,perf-agui-4.7,,,,
5.1,n5,T2-T3,agent_status,,,e2i_data_query_tool,,False,5851.4,5848.8,5861.4,,,,,,492,d33842cd-0af0-4eb2-9207-836bebae2c9d,perf-agui-5.1,,,,
5.2,n5,T1,agent_status,,,agent_routing_tool,,False,8061.6,8058.9,8065.6,,,,,,772,d33842cd-0af0-4eb2-9207-836bebae2c9d,perf-agui-5.2,,,,
5.3,n5,T2,kpi_query,,,e2i_data_query_tool,,False,9907.6,9848.0,9911.3,,,,,,920,d33842cd-0af0-4eb2-9207-836bebae2c9d,perf-agui-5.3,,,,
5.4,n5,T3,kpi_query,,,e2i_data_query_tool,,False,9966.1,9961.7,9968.8,,,,,,1007,d33842cd-0af0-4eb2-9207-836bebae2c9d,perf-agui-5.4,,,,
5.5,n5,T3,causal_analysis,,,e2i_data_query_tool,,False,11244.9,11244.4,12844.8,,,,,,1699,d33842cd-0af0-4eb2-9207-836bebae2c9d,perf-agui-5.5,,,,
5.6,n5,T1,general,,,document_retrieval_tool,,False,14522.2,10343.8,14528.0,,,,,,1899,d33842cd-0af0-4eb2-9207-836bebae2c9d,perf-agui-5.6,,,,
5.7,n5,T3,causal_analysis,,,causal_analysis_tool,,False,15210.8,3682.3,15216.4,,,,,,2674,d33842cd-0af0-4eb2-9207-836bebae2c9d,perf-agui-5.7,,,,
6.1,n6,T4,multi_faceted,,,kpi_calculate_tool,,False,22869.0,19948.5,22873.5,,,,,,3406,2835df94-fe88-42f5-80cd-54c85d9794c0,perf-agui-6.1,,,,
6.2,n6,T4,multi_faceted,,,kpi_calculate_tool,,False,19536.2,11969.2,19543.2,,,,,,2420,2835df94-fe88-42f5-80cd-54c85d9794c0,perf-agui-6.2,,,,
6.3,n6,T4,multi_faceted,,,,,False,5650.7,5650.1,5656.9,,,,,,903,2835df94-fe88-42f5-80cd-54c85d9794c0,perf-agui-6.3,,,,
6.4,n6,T4,multi_faceted,,,clinical_context_tool,,False,23932.3,7724.0,23995.7,,,,,,3562,2835df94-fe88-42f5-80cd-54c85d9794c0,perf-agui-6.4,,,,
6.5,n6,T4,multi_faceted,,,causal_analysis_tool,,False,4865.4,4864.7,16914.1,,,,,,2696,2835df94-fe88-42f5-80cd-54c85d9794c0,perf-agui-6.5,,,,
A.1,a1,T6,greeting,,,,,False,4568.7,4568.4,4574.4,,,,,,654,ca076bc4-4c62-448a-92b9-1c03264dc7a6,perf-agui-A.1,,,,
A.2a,a2,T6,help,,,,,False,9405.5,9405.2,9408.7,,,,,,1949,679d30bc-3055-43ca-b81f-4c17cfe158e8,perf-agui-A.2a,,,,
A.2b,a2,T6,help,,,e2i_data_query_tool,,False,9556.2,3071.7,9561.2,,,,,,1262,679d30bc-3055-43ca-b81f-4c17cfe158e8,perf-agui-A.2b,,,,
A.3,a3,T6,kpi_query,,,kpi_calculate_tool,,False,5649.1,5646.7,5650.6,,,,,,364,91dd04a3-a293-4584-9f02-22e573440273,perf-agui-A.3,,,,
A.4,a4,T6,kpi_query,,,kpi_calculate_tool,,False,5057.0,5053.4,5058.5,,,,,,393,a7f2cd9a-d091-4697-8f8f-77a9b7db66f2,perf-agui-A.4,,,,
A.5,a5,T6,clarification,,,,,False,4696.9,4696.5,4698.4,,,,,,457,6a103bbe-bb5b-4ba6-bfcf-9581b1c4729a,perf-agui-A.5,,,,
A.6,a6,T6,help,,,,,False,9158.2,9157.8,9162.6,,,,,,1168,9800ff0d-3aaa-4b2e-8d58-df0e2396d574,perf-agui-A.6,,,,
A.8-cold,a8,T2,kpi_query,,,kpi_calculate_tool,,False,4868.3,4865.6,4869.7,,,,,,301,73cfb239-94d9-484f-a24d-c340ee6daec1,perf-agui-A.8-cold,,,,
A.8-warm,a8,T5,kpi_query,,,kpi_calculate_tool,,False,6181.9,6166.7,6229.2,,,,,,328,73cfb239-94d9-484f-a24d-c340ee6daec1,perf-agui-A.8-warm,,,,
A.9-seed,a9,T3,causal_analysis,,,causal_analysis_tool,,False,15246.2,6554.7,15251.7,,,,,,1685,22a7a1ef-290c-49f8-a55b-322156fcd85c,perf-agui-A.9-seed,,,,
A.9-followup,a9,T5,causal_analysis,,,e2i_data_query_tool,,False,13977.5,3864.7,13983.1,,,,,,2117,22a7a1ef-290c-49f8-a55b-322156fcd85c,perf-agui-A.9-followup,,,,
A.10,a10,T6,multi_faceted,,,causal_analysis_tool,,False,45735.3,10915.1,45848.6,,,,,,5020,67d5c6ee-e61d-4507-8148-1c9ab9b163d7,perf-agui-A.10,,,,
