question_id,session,tier,intent_expected,intent_actual,routing_pattern,confidence_pipeline,agents_dispatched_ui,tools_invoked_ui,orchestrator_used_ui,ttfb_ms,first_progress_ms,total_ms,classification_latency_ms,used_llm_layer,agents_dispatched_chatstream,active_dispatch,response_chars,error,answer_correct,suggestion_pills_relevant,notes
4.3,n4,T4,multi_faceted,recommendation,CLARIFICATION_NEEDED,0.78,,,False,9047.2,9046.7,9051.8,1.3997554779052734,False,heterogeneous_optimizer|gap_analyzer,heterogeneous_optimizer|gap_analyzer,1535,,yes,,
4.4,n4,T3,causal_analysis,causal_analysis,PARALLEL_DELEGATION,0.88,causal_analysis_tool,causal_analysis_tool,False,15034.5,14939.8,15038.5,0.47659873962402344,False,heterogeneous_optimizer|gap_analyzer,,2021,,yes,,
4.5,n4,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.98,e2i_data_query_tool,e2i_data_query_tool,False,17637.2,9829.4,17696.4,0.6823539733886719,False,explainer,,1412,,yes,,
4.6,n4,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.98,e2i_data_query_tool,e2i_data_query_tool,False,51918.5,2970.3,52208.6,0.8652210235595703,False,explainer,,1616,,yes,,
4.7,n4,T3,causal_analysis,causal_analysis,CLARIFICATION_NEEDED,0.96,causal_analysis_tool,causal_analysis_tool,False,15796.8,5051.6,15896.6,0.8406639099121094,False,explainer,,2422,,yes,,
5.1,n5,T2-T3,agent_status,,,,e2i_data_query_tool,e2i_data_query_tool,False,5851.4,5848.8,5861.4,,,,,492,,yes,,
5.2,n5,T1,agent_status,,,,agent_routing_tool,agent_routing_tool,False,8061.6,8058.9,8065.6,,,,,772,,yes,,
5.3,n5,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.94,e2i_data_query_tool,e2i_data_query_tool,False,9907.6,9848.0,9911.3,0.6542205810546875,False,explainer,,920,,yes,,
5.4,n5,T3,kpi_query,search,PARALLEL_DELEGATION,0.88,e2i_data_query_tool,e2i_data_query_tool,False,9966.1,9961.7,9968.8,0.7257461547851562,False,drift_monitor,,1007,,yes,,
5.5,n5,T3,causal_analysis,causal_analysis,PARALLEL_DELEGATION,0.95,e2i_data_query_tool,e2i_data_query_tool,False,11244.9,11244.4,12844.8,0.6620883941650391,False,heterogeneous_optimizer|gap_analyzer|prediction_synthesizer,,1699,,yes,,
5.6,n5,T1,general,general,,0.93,document_retrieval_tool,document_retrieval_tool,False,14522.2,10343.8,14528.0,,,,,1899,,yes,,
5.7,n5,T3,causal_analysis,causal_analysis,PARALLEL_DELEGATION,0.98,causal_analysis_tool,causal_analysis_tool,False,15210.8,3682.3,15216.4,0.8687973022460938,False,explainer,explainer,2674,,yes,,
6.1,n6,T4,multi_faceted,multi_faceted,PARALLEL_DELEGATION,0.99,kpi_calculate_tool,kpi_calculate_tool,False,22869.0,19948.5,22873.5,0.9560585021972656,False,tool_composer,tool_composer,3406,,yes,"yes (UI pass, all observed turns)",
6.2,n6,T4,multi_faceted,multi_faceted,TOOL_COMPOSER,0.96,kpi_calculate_tool,kpi_calculate_tool,False,19536.2,11969.2,19543.2,0.881195068359375,False,drift_monitor|gap_analyzer,tool_composer,2420,,yes,,
6.3,n6,T4,multi_faceted,recommendation,CLARIFICATION_NEEDED,0.94,,,False,5650.7,5650.1,5656.9,1.0533332824707031,False,heterogeneous_optimizer|gap_analyzer|resource_optimizer,,903,,yes,,
6.4,n6,T4,multi_faceted,multi_faceted,CLARIFICATION_NEEDED,0.98,clinical_context_tool,clinical_context_tool,False,23932.3,7724.0,23995.7,6.968975067138672,False,explainer,explainer,3562,,yes,,
6.5,n6,T4,multi_faceted,multi_faceted,SINGLE_AGENT,0.94,causal_analysis_tool,causal_analysis_tool,False,4865.4,4864.7,16914.1,0.7824897766113281,False,prediction_synthesizer,,2696,,yes,,
A.1,a1,T6,greeting,,,,,,False,4568.7,4568.4,4574.4,,,,,654,,yes,,
A.2a,a2,T6,help,,,,,,False,9405.5,9405.2,9408.7,,,,,1949,,yes,,
A.2b,a2,T6,help,kpi_query,CLARIFICATION_NEEDED,0.98,e2i_data_query_tool,e2i_data_query_tool,False,9556.2,3071.7,9561.2,1.0516643524169922,False,explainer,,1262,,yes,,
A.3,a3,T6,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.99,kpi_calculate_tool,kpi_calculate_tool,False,5649.1,5646.7,5650.6,0.6613731384277344,False,explainer,,364,,yes,,
A.4,a4,T6,kpi_query,kpi_query,SINGLE_AGENT,0.98,kpi_calculate_tool,kpi_calculate_tool,False,5057.0,5053.4,5058.5,0.7231235504150391,False,explainer,,393,,yes,,
A.5,a5,T6,clarification,causal_analysis,SINGLE_AGENT,0.9,,,False,4696.9,4696.5,4698.4,0.7050037384033203,False,causal_impact|explainer,,457,,yes,,
A.6,a6,T6,help,general,,0.96,,,False,9158.2,9157.8,9162.6,,,,,1168,,yes,,
A.8-cold,a8,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.99,kpi_calculate_tool,kpi_calculate_tool,False,4868.3,4865.6,4869.7,0.6024837493896484,False,explainer,,301,,yes,,
A.8-warm,a8,T5,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.99,kpi_calculate_tool,kpi_calculate_tool,False,6181.9,6166.7,6229.2,0.667572021484375,False,explainer,,328,,yes,,
A.9-seed,a9,T3,causal_analysis,causal_analysis,SINGLE_AGENT,0.99,causal_analysis_tool,causal_analysis_tool,False,15246.2,6554.7,15251.7,0.6382465362548828,False,causal_impact|explainer,,1685,,yes,,
A.9-followup,a9,T5,causal_analysis,causal_analysis,SINGLE_AGENT,0.78,e2i_data_query_tool,e2i_data_query_tool,False,13977.5,3864.7,13983.1,0.6437301635742188,False,explainer,,2117,,yes,,
A.10,a10,T6,multi_faceted,multi_faceted,PARALLEL_DELEGATION,0.99,causal_analysis_tool,causal_analysis_tool,False,45735.3,10915.1,45848.6,1.5757083892822266,False,cohort_profiler|experiment_designer,,5020,,yes,,
